-1.75,-2.20,2.59,-0.36,-0.08,-0.92,-0.10,0.08,-0.09
-1.80,-2.27,2.67,-0.36,-0.08,-0.92,-0.10,0.08,-0.09
-1.85,-2.34,2.76,-0.36,-0.08,-0.92,-0.10,0.08,-0.09
-1.91,-2.42,2.84,-0.36,-0.08,-0.92,-0.11,0.08,-0.09
-1.97,-2.49,2.93,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-2.03,-2.57,3.02,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-2.09,-2.65,3.10,-0.36,-0.08,-0.92,-0.11,0.08,-0.11
-2.16,-2.72,3.18,-0.36,-0.08,-0.92,-0.11,0.08,-0.11
-2.22,-2.80,3.27,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-2.28,-2.88,3.35,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-2.34,-2.96,3.44,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-2.40,-3.04,3.53,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-2.46,-3.12,3.61,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-2.52,-3.19,3.70,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-2.58,-3.27,3.78,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-2.64,-3.35,3.87,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-2.70,-3.43,3.95,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-2.76,-3.51,4.04,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-2.83,-3.59,4.13,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-2.89,-3.67,4.21,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-2.95,-3.75,4.30,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-3.01,-3.83,4.39,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-3.07,-3.91,4.47,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-3.13,-3.99,4.56,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-3.20,-4.08,4.64,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-3.26,-4.16,4.73,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-3.32,-4.24,4.82,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-3.38,-4.32,4.90,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-3.45,-4.41,4.99,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-3.51,-4.49,5.08,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-3.57,-4.57,5.17,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-3.64,-4.66,5.25,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-3.70,-4.74,5.34,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-3.76,-4.82,5.43,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-3.82,-4.90,5.52,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-3.89,-4.99,5.60,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-3.95,-5.07,5.69,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-4.01,-5.16,5.78,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-4.08,-5.24,5.87,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-4.14,-5.32,5.95,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-4.20,-5.41,6.04,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-4.26,-5.49,6.13,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-4.33,-5.58,6.22,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-4.39,-5.66,6.31,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-4.45,-5.75,6.39,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-4.52,-5.83,6.48,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-4.58,-5.92,6.57,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-4.64,-6.00,6.66,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-4.71,-6.09,6.74,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-4.77,-6.18,6.83,-0.36,-0.08,-0.92,-0.11,0.09,-0.10
-4.83,-6.26,6.92,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-4.90,-6.35,7.01,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-4.96,-6.44,7.09,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-5.03,-6.53,7.18,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-5.10,-6.62,7.27,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-5.16,-6.71,7.35,-0.36,-0.08,-0.92,-0.11,0.08,-0.11
-5.23,-6.79,7.44,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-5.30,-6.88,7.53,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-5.36,-6.97,7.62,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
-5.43,-7.06,7.71,-0.36,-0.08,-0.92,-0.11,0.08,-0.10
